unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1714176000,2024-04-27 00:00:00,ETH/USDT,3130.7,3282.1,3068.9,3255.1,126.90522265,413089.190248015
1714089600,2024-04-26 00:00:00,ETH/USDT,3156.5,3168.5,3105.3,3132.4,88.41565395,276953.19443298003
1714003200,2024-04-25 00:00:00,ETH/USDT,3137.5,3190.3,3080.4,3156.8,287.16463864,906521.3312587522
1713916800,2024-04-24 00:00:00,ETH/USDT,3222.2,3292.1,3111.5,3139.9,207.71829610,652214.6779243901
1713830400,2024-04-23 00:00:00,ETH/USDT,3200.1,3260.2,3155.1,3219.7,115.25576865,371088.998322405
1713744000,2024-04-22 00:00:00,ETH/USDT,3147.5,3234.6,3129.7,3199.8,80.13114499,256403.637739002
1713657600,2024-04-21 00:00:00,ETH/USDT,3153.9,3189.9,3116.7,3147.6,100.02392744,314835.314010144
1713571200,2024-04-20 00:00:00,ETH/USDT,3056.9,3169.4,3022.5,3156.0,152.90700512,482574.50815872004
1713484800,2024-04-19 00:00:00,ETH/USDT,3061.5,3121.0,2870.3,3069.0,260.08977527,798215.52030363
1713398400,2024-04-18 00:00:00,ETH/USDT,2977.7,3093.0,2952.1,3066.8,216.00152355,662433.4724231401
1713312000,2024-04-17 00:00:00,ETH/USDT,3083.6,3121.8,2919.0,2981.5,219.88304746,655581.30600199
1713225600,2024-04-16 00:00:00,ETH/USDT,3102.2,3122.6,2988.8,3089.3,307.59980131,950268.066186983
1713139200,2024-04-15 00:00:00,ETH/USDT,3144.9,3268.1,3027.7,3099.7,465.89731720,1444141.91412484
1713052800,2024-04-14 00:00:00,ETH/USDT,3004.4,3169.4,2913.7,3155.1,546.58928076,1724543.8397258758
1712966400,2024-04-13 00:00:00,ETH/USDT,3232.6,3298.1,2844.0,2999.6,885.24242242,2655373.170291032
1712880000,2024-04-12 00:00:00,ETH/USDT,3502.4,3550.5,3092.0,3237.7,488.68807837,1582225.391338549
1712793600,2024-04-11 00:00:00,ETH/USDT,3536.9,3610.8,3483.2,3504.5,166.47912898,583426.10751041
1712707200,2024-04-10 00:00:00,ETH/USDT,3501.8,3556.4,3413.5,3539.4,261.81796770,926678.51487738
1712620800,2024-04-09 00:00:00,ETH/USDT,3695.0,3724.1,3462.1,3507.3,124.66880313,437250.893217849
1712534400,2024-04-08 00:00:00,ETH/USDT,3456.1,3725.6,3410.9,3694.2,263.20361018,972326.7767269559
1712448000,2024-04-07 00:00:00,ETH/USDT,3355.6,3496.3,3344.9,3453.8,459.70341447,1587723.652896486
